deviceUid,deviceName,serialNumber
2ced43c3-9b2c-4fdf-b50b-55d04b3904b3,CS351HW21,JWTRM02
2cfbfb64-e02c-48a7-a6c1-af2ad9ef931c,PC468C1W18,MJ06GJ13
2db734a9-95f5-473b-bca1-f190c27fde1b,CSZR1W20,PF1Q46JJ
2e5cd800-0b0b-43aa-a3d5-42f1021f5cca,CSSEK571LP2W22,543Z593
2ed9967f-04db-4f33-a65e-db90322babf4,CS47120W16,7JH6JB2
2ee3e821-23a7-46bb-88a3-ed1c662862b5,WHSLC10006LPW22,79YX593
2f1e39ed-a39e-4d1e-9107-ff1730d02a89,MCMC8529W21,PF11MVP8
2f49503b-6430-489f-87f8-09f4214d4a70,WH427C2W18,MJ06GJ0X
3025102b-1960-49de-b7c8-077553bcf94c,MC202AW20,MJ08NX91
30454571-6ccd-40be-b060-2ef46bcaec62,MCNC48W20,J0MYR72
30e86347-9b31-4b93-850d-e743b435c3ce,HPSTUFW19,6TZXD12
30f5f0c0-f097-4062-bae2-727b6d6ca137,PC468C3W18,MJ06GJ10
3145812b-d37c-48fe-a725-009ec2201a96,INSJC8416LPW22,2D3Z593
314e4bf4-46c6-412a-b5cd-895c9b9d1d7c,WELLNESSTESTCAM,CFFQG42
3182ce69-58a8-4458-a0e9-dd403122a479,MCJSC578LPW20,PF1Q8Q2Z
318e7e9a-f3b8-476e-ba22-6d6356c64f58,WHNEWTOE01W20,PF13ZEMT
319cfbaf-5c30-45d8-994f-1fab4427b9ca,CSROGB048W19,JWTRC42
325b75db-3fc1-4948-9a95-30f050486c04,TI462RDPW21,MJ098B32
3284e3fa-dca8-412e-941d-e22c5d2f5c62,SB920BW18,FR2J482
329125df-bcc8-47ff-940b-496423fc1ead,MCBT19W22,24FQG42
32b13210-6134-41d5-93ca-2b655ec2f681,PC468C5W18,MJ06GJ4X
32c14d01-e6fc-4346-9f9a-c440311f7efd,FLUVACC04W22,GRX7T32
32efa2fa-cc0e-4bfc-8fc0-c8c4a0db6ed6,FLUVACC06W22,HVL7T32
33041d12-ad87-45d8-8bc1-6e99a6815e3f,PCROGB026CW19,F138C42
337d5360-1d4a-4b88-a6b7-579e5e4e6027,PC4NS5W18,n
34e0df94-808e-4711-8563-1ed4db1fffa6,PC324W18,FR0H482
358a309d-9baf-49b9-aa3a-aa028bee750b,PARVM2000DKTPW2,MJ098B5D
35b00a6c-f54d-458e-bda3-a5b863de5c56,MR336FW22,MJ09AXQ5
35dd36cb-9b0d-47c6-8f38-21787ffe1cd4,PAJC8416DKTPW21,MJ098B3Z
362dd775-6c77-4862-9b0d-e434de4d777a,CS47119W16,7JGDJB2
3667012c-ceab-4187-b415-35e30ddc50e3,WIN10LOW03,VMWARE 42 12 32 6D FA 71 71 9A 01 2B E9 BD D9 FA 2
3675d924-f9c7-4c24-bd15-286b7a401e32,PC454W18,5MFQG42
367fffa3-83aa-49a7-8b6e-6a7b17c8391e,CSAA6545W20,FPPXR72
36b17028-55b8-41c2-935e-b73a574c51c6,PC424C3W18,MJ06FCS3
3752d308-05a6-4ed8-8f0e-f9f201be22b9,WH415W18,7ZDQG42
3781d4b2-cfde-484a-9ef0-8aadd1c241a8,PC3JO63LPW20,PF1WMSC1
378867e8-3aec-417d-a330-ceb6e151f815,WLTAC405LPW22,GY1K493
37f154f6-ce23-496c-8b0f-d390a1b10120,CS47105W16,7JHGJB2
3806a0dc-15f5-4064-b2bc-1ef4f6c4ac89,PC442W18,FQYH482
38162a4e-5f94-4582-9dc3-7b766ba27d33,MONDOPAD_CC47,To be filled by O.E.M.
383681b8-26b5-4a3d-a331-3c2dcb40769c,WH423C1W18,MJ06HAH1
38b324be-7319-429b-8d57-779d9e24c40b,MCWDCWIN10-517,VMWARE 42 34 D9 B2 BD A7 F9 DE DC D4 6B 90 C8 48 1
38d6435d-d84d-48e1-9a5e-2c7f81717659,CRCAC9699W21,PF1Q1G65
38e75c86-da38-41b8-bd1f-b9ea91bed89e,CS47107W22,3YR83Q3
398216a8-b225-4896-91c2-dab5503e7d26,PA8W18,MJ06GJ2X
3b12897e-db3a-48cd-ae1a-24ca2eaec817,PCROGB041W22,7JHBJB2
3b69ef19-7977-4210-ac8d-301af258eb95,CSMR6123LPW20,PF1X44B7
3b6a8ba2-fbcd-4552-bed1-351dbffb01b7,STEVETEST,7JHDJB2
3bf13d6f-8999-48f3-901c-ec7e0eb25316,WHNS3W18,MJ06FCRG
3cff1cb1-fb7b-4701-8341-9dfa69edb436,SP333FW19,MJ07RGX2
3d18b9cd-7d6c-434e-8128-e945158c14b3,MC202CW19,MJ08NX9B
3d1a1d66-dcae-476b-ba55-e2576cd019f5,PC459C4W18,MJ06FCS7
3d576f78-bf4f-4ce4-8220-4e1f5706e29f,LOAN12W20,1LZWD12
3db77c16-9d76-4454-a35c-cd7e76f6e84e,OP472CW22,MJ07RGWZ
3e4670fc-7615-4abb-b305-742c08173940,ADLPSH165W20,MJ0BXVZR
3e47515e-3584-424f-ad73-89f1800beb92,CS47112W22,1YR83Q3
3edfa203-31a6-47c8-a598-e9f19f742381,MC353EW19,MJ08NX8V
3ef3b48d-a631-485b-8308-d027aae84bb9,FLUVACC05W22,2YL7T32
3f6a1536-94ab-4ea7-8c16-3b658022991d,AD474FD1W22,MJ05NLFJ
3f75c363-dd9c-4731-8475-9e04bdecd6b1,CS47101W16,7JK9JB2
3f9a1683-66af-44dd-b724-2679a585c8d8,DPNCAPPSDC02,VMware-42 12 c2 8e 88 25 8f be-b0 bc 08 a9 5e df 55 10
3fd2c83b-60bd-44bd-af0d-2a83be2d9a96,FACAG9277LPW22,BQZL493
40398063-2272-4b81-8721-0965b1ab02e6,METWDC01,VMware-42 34 3d 6f 77 b3 a9 ed-c9 7b 6e 49 f5 f7 5f 40
412e6efd-e85b-44d8-967c-c1161b971525,MCFD1W20,MJ098B4V
422ee7d7-edb2-4cc2-89e5-49418d492a7a,MCBCB4W19,MJ09AXTF
426ad799-9b97-4d91-b05b-23642a39e045,CS47113W16,7JM9JB2
4279b4ea-ee87-4c38-973e-0cdcf7fa6be8,PTHF20LPW22,PF1Q22T9
42bd21da-6a30-48f7-861a-d8992dcc659a,PA11W18,MJ06GJ28
42c090af-8657-4bdc-b879-4b23a89d2b29,PTFD1W22,MJ05FNYA
4321a558-1525-4e37-a103-7c5384ab8f96,PSSTMF4W20,MJ0BXW0T
432e26e6-b4c4-4414-a8fe-13734978a70f,QIBC3562W22,1TLX593
4395a037-d18b-4232-8c2f-e337d2715d81,PC312W18,FR1J482
43eae784-5376-4100-be71-27f69a6aca20,LENOVOREADY1,MJ09AXV4
448fc030-cd86-4c93-9023-24f6d6febe66,MC353DESK2W19,MJ09AXQM
44aaa29f-fd2f-45ea-bf01-432325819a23,MCR3AW19,MJ088019
44e8a266-cfda-4257-9803-b353409fff18,MCR2W19,MJ09AXV1
451c0562-eaeb-4da5-b310-4bb2d9bc1fd4,FI478W19,MJ07RGWJ
45384d3b-1804-4e18-9a3f-8c1d6c9239de,MININT-I8SJTSJ,PF1860HV~L1HF85X02E1~PF1860HV
45837a52-4700-4eb9-b778-93e26eb08479,WIN10LOW04,VMWARE 42 12 13 1F 41 4F 4F 4F 52 29 3A B0 86 0F A
45ffc0dc-d29e-4bd5-abad-7a6a3fae379b,MCWDCWIN10-504,VMWARE 42 34 E5 17 2E 26 2C C5 2F EC 10 F7 22 D0 6
4667d884-0255-47f0-80df-ca6a8d3e686f,DCAWS01,EC27AE19 6D47 710B 84F6 05D5AD0DD00F
4671159a-85bb-4697-82eb-f3db4379b050,PCROGBO25W18,7JL2JB2
46891e30-1d7c-4a8d-8df5-b7601c0708a7,QLMZ2138W20,PF1N8RMJ
46b71d5e-fe44-4d35-9615-3d9b972f5e7e,PC432W18,7JKBJB2
46ec9226-b768-4273-8c4d-2abb793ee6cb,MCBCB4W18,PF185UA6
4749e95a-aefa-4613-b188-00a04fb88f8b,PA2W18,MJ06H0PY
4787a83c-09ad-42a6-8d6e-ad6d047baf32,ADMIN474GW19,MJ08NX8S
47ae312f-c294-49ec-8d2c-ae7219629b74,MCREW8W18,PF186L8J
47f74c6a-2ae6-4cff-98c7-227de1e66946,WL344K1W18,9DFQG42
4827087c-48fd-44ff-aad0-b6a9b0f5fc7c,CS4FD1W18,MJ05NLDA
486c309f-d7a7-460c-b82d-e87c247e94e5,PA12W18,MJ06HAGP
48b8caeb-c7ee-4c39-b572-00dd95d37e3d,WHSVR38W19,PF1NAWXY
48d1efd1-45cc-4879-b5a0-6a2409ae98ab,SP330BW19,MJ07RGWP
4915eecc-0736-4014-b203-4feafe5c064a,MCBT09W22,DCFQG42
49368630-0fe9-4d24-bf6f-7b5a7068c4b9,5520A,GYQ6F63
496e3a75-c834-45d8-bb4b-518cf1c9f83a,DESKTOP-R4F09KK,0
49aaa645-906a-4c41-8c8d-30f053230131,PC3BJP246LPW21,PF1WLZ8Q
49cdcb92-9389-46c1-8a35-68c346982b73,CS351GW22,8V5KKQ3
4a3789f0-8879-4fb4-942b-fa3a3d34fb97,Tan Islam MacBook Pro,C02FJ763MD6N
4a55b30a-a80b-4ec4-96de-7ddee508b5f4,DESKTOP-L14SBKG,PF1WM5DB
4a6cf371-5cbb-4968-80ce-f6498d959334,AIPSA3LPW19,PF1Q1J44
4a90147d-9cda-44aa-bc6a-2bd2ee32f1b3,CSLOUNGEZM1,MJ098B46
4ab07b86-798c-4d9a-acd5-52cf1b2d4b0b,VACC13W21,MJ06GJ4Z
4ab3d17b-2f21-471c-9667-f66f27d98df0,PC445W18,FR3D482
4b7bbb54-bed8-425f-9db4-9b933c88dc01,DESKTOP-2HVHI22,PF1863BP
4b9955ce-fed3-4282-8a0b-49877cb77258,MCBOCW22,MJ098B4L
4bb3ce92-1b7a-40fc-996a-1967113c16f6,PC4FD4W22,MJ05FNZS
4c0243f4-067b-4bb6-8926-b980df6f2ba0,MC214CW20,HG0WPD2
4c9d4bd1-4213-4538-8ab0-f01367c829e3,MCWDCWIN10-516,VMWARE 42 34 1F 43 FF 63 E5 D6 32 73 BD 14 F4 CD B
4dbb2830-9e7a-4d58-bb9c-5a57bda9fb12,CSSBS533W18,7JM8JB2
4dd0cf71-db74-40be-b0b8-0a6922497c08,PCROGB034W16,JWTSM02
4e2618b9-34b3-4efc-afb4-e737623a03cd,PC3EKGLP2W20,PF1Q1EK5
4f10bb0d-8ebb-4acd-aadb-94316a1abd94,MCBT08W22,7JM7JB2
4f8235b5-1719-47cb-b379-34b2dd39923e,MCFD1W19,MJ08NX98
4fb2dfdd-7216-4ecf-a85f-44db961b0aa4,WLFDW22,JFZ83Q3
4fcc8775-096d-45d8-96e9-7ca9c7a3bba8,CRC03W21,MJ08NX93
50f1e467-58ff-4c9d-a55c-694474f2874c,CS4FD2W18,MJ05NLDE
522a819f-6b7e-4018-8f88-f63c09c2f7d9,ADZRS209W20,9BFYR72
52c6e496-8572-4ce0-a967-50c50e5dd38c,PCKB156LPW22,9KSK493
52f6c037-d148-4d74-a855-97ff855ff2e0,PC3SV2208W21,PF1WMCRW
5373038e-0282-4a91-8afe-c0d76a3fecd4,MCWDCWIN10-514,VMWARE 42 34 7A 74 65 AC 7A 8B C8 33 FB 4F 50 8A B
53989aee-df9a-4018-b123-1a88e0887b1c,PC325W18,MJ06HAG0
53cbdc23-1513-438e-8aa4-ccb6fa24606e,MCBT05W22,JWTSFZ1
5406666f-0c4e-4890-9d40-004284f973a1,DESKTOP-R0OHDVN,MJ09AXR6
547a6eef-c09c-4045-b9f5-c0a466216128,PCROGB041W19,JWTRKM1
5483d1fa-c02b-4362-8110-df003ac9883c,5510ABC,59RX593
54d62f82-958b-4935-8a5c-9367204c8dc8,MRAK90W22,J0MK493
5585c84f-f42e-4904-a4fe-ff1536057736,SP333GW19,MJ07RGWT
55a88989-687b-4112-bae2-c0af0a3140d1,CSBK58W21,PF1WMF08
55f05d5d-af80-43e5-b18a-7b715087d887,CS471BW16,7JH5JB2
5615487f-9a92-4cd7-b76b-d1a3f00d39db,PC314W18,FR3L482
56555f15-2505-4337-9577-dbf7f27b6a28,PC459C3W18,MJ06HAGD
56786316-76df-41d9-a25e-46249eb2a08a,CSLS897W18,PF1868S2
56ca4971-cb8d-447f-8afe-bde265cb7f73,MC353HW19,MJ08NX95
5706d115-c70f-4743-9fb7-e85f982dd739,WL344K10W18,3GFQG42
572f1e07-461f-4091-96df-c19e903ca74a,WLLK1407W20,DSR7T32
574e0b53-2afa-4c5b-8d2b-c382191af083,CS35104W16,7JLBJB2
5778aa70-3d59-4230-861d-c03793f74192,PC457C2W18,MJ06GJ3G
578854f4-ed5a-4787-afd9-1cbd8c2c9906,CS47111W16,7JJ4JB2
57b88106-4c65-42fa-b441-4d8fff87a443,WHFD2W18,MJ05NLCJ
57f529dc-1f12-4e92-bc67-c353ec32d630,CS47114W16,7JL6JB2
58353b79-9298-4ae2-897b-5521f0151c06,WH420W18,2BFQG42
5837d89a-9902-4009-976a-a3afb82d8026,MCSDCWIN10-506,VMWARE 42 12 C9 BF 84 AA 1F 88 FA 9A 02 5A 1F 5F B
586959dd-1926-4d1a-a3ad-2257bf0cbcdf,CSCHAFFM01W18,MJ05NLC2
58b3c8a3-ba3d-49d2-a2f2-b2c2a983f0e7,PC3NS2W18,MJ06GJ50
59595459-cb16-4799-bf1b-1a4828d51f05,PC3LJG2078W20,PF1WL9D2
59682efc-92cf-4f44-93be-5c9cdf587678,CS47116W22,5X8KKQ3
5a39ecbe-0818-4bf4-adc2-9df9867a8883,PC457A1W18,MJ06GJ2Q
5b44b7af-73a3-4210-8da2-1b505ed6f58e,CRCSC5829W19,PF1NAQRG
5b6e3ca7-807a-4b23-aa6a-f739328a2e1a,LENOVO-RYAN,PF13ZER2
5bfeaf95-4cfc-45cd-8241-0d6cf5e9c7ff,INLA518W20,HF1YD12
5c926f23-8dd4-4c3b-8db2-e415dd5b9521,PA14W18,MJ06HAH2
5cd0b860-e13e-4f1e-b097-60e463fe5650,PC453W18,FR3K482
5cf0a878-0569-4dea-96d6-614bd3ab878c,PC4NS3W18,MJ06HAFY
5e232bba-d726-416b-a63c-854af67d0fd7,CRCRJK373LPW22,PF1Q22V4
5e7bc33c-ce0e-4838-98ed-2a2a8db1569a,PCROGB32W18,MJ05NLE6
5ea85368-3915-496c-a5fa-bb296a259134,gargamel26’s MacBook Pro,C02G12X2MD6Q
5ebb18b4-1564-404e-bae4-34cb6bb79b58,PC4FD3W22,MJ09AXGE
5ecb89f9-50a2-44d6-8bb8-a404a489759e,CS47107W16,7JM4JB2
5f72709b-1cbf-4f22-946f-ad52cb6c8c53,WLRCS508LPW22,76PJ493
6040e864-20a4-4732-b4f5-9ed91f1626e0,CSAB9542LPW20,PF1WMCRD
6097b790-6566-49f4-940f-18178ec4bc33,BERLINLPW22,GFSX593
61032e35-ffdf-4578-ba6a-f98c919adbbb,INSJC8416W20,PF1SH2NT~L1HF97P002Y~PF1SH2NT
61304f98-875a-4aee-8671-0840585a88f8,WL344K2W18,3DFQG42
617dc3e5-db84-4b95-850f-ad9376b87783,MEDLIBZM1,MJ09AXLP
61d1ae9a-9825-4ad0-bdd4-69e482fc20a1,PC4MP1966W20,46LQR72
625517bc-176a-4d1f-85cd-b3ad81f65059,MCDR926W20,D3MYR72
6275e960-b877-4b90-96a3-ecf53e47a9f8,MC202DW20,MJ07RGWG
634cb895-fa63-432d-bd6b-e516607641a8,PC3LPW21,6DVRBW1
637fcb08-b515-40f8-bc81-526fa2d36f0b,PC441W18,FR2H482
63b15497-4eb4-4c91-bd25-a7a8191fe8f2,PTFD2W18,MJ05NLCB~~MJ05NLCB
63d18114-3e7c-41b9-87fb-4ea314c6a30a,COVIDTEST18W20,MJ098B3S~~MJ098B3S
63e1f918-f59b-4fac-84ff-1ca38b3331c0,WH429W21,MJ098B54
6442f78d-1c36-461a-a110-51a812ce3775,PC3NS4W18,MJ06HAGT
644ae405-dc2b-49ec-875f-0e78a5ee0992,MCBT16W22,42FQG42
64bdb255-1f65-439b-b5fd-54e3edec5322,ALLISONLPW21,PF0WQPX9
6540b51f-c804-4131-b4e0-ddbffa6d578e,PC3CB4897W21,JZQ6F63
66679b56-5008-4425-9a40-0d17444096ae,PC459C5W18,MJ06FCS4
6684d0e7-611e-4beb-ac86-cb5290216061,CRCMD5313W21,MJ098B4C~~MJ098B4C
673d6c06-a530-4077-80b8-75221c0e2f90,VEA726-01,VMware-56 4d 41 54 4e 19 33 84-b9 8b b0 31 e1 ee 71 13
673fb6b9-47b6-4c60-afb8-099c7472fae4,HPOSTUDENTAM19,FVFY43Z1HV2D
676f8b16-9a10-4bab-8b1e-b562ccfa4d07,,
67a0d71a-880c-4fb8-bc8c-89d352715716,PSSEDL4W20,MJ0BXVYW
67dd253c-9e8d-40bf-8e85-7b1389f40de1,ALFD1W18,MJ05FNYE
681bd129-2e26-4e2f-b247-102e36cfaf78,MC202CW18,MJ07RGWY
68314ce9-0ddf-4c8e-b8c5-5dfeb29b55b2,CSPCE206W19,PF1863D1
695491ae-9b9c-4831-8a42-caddaf90e8aa,CRCBAH296W19,PF1Q22A5
6a2f0c15-1155-4ec4-926e-f2cf74cce10f,WIN10LOW02,VMWARE 42 12 78 1C 14 3E F4 25 E8 E7 61 D2 B8 19 9
